date,platform,meantemp,humidity,meanpressure,flag
2013-01-04,mumbai,8.666666667,71.33333333,1017.166667,1
2013-01-05,mumbai,6.0,86.83333333,1016.5,1
2013-01-06,mumbai,7.0,82.8,1018.0,1
2013-01-07,mumbai,7.0,78.6,1020.0,1
2013-01-08,mumbai,8.857142857,63.71428571,1018.714286,1
2013-01-09,mumbai,14.0,51.25,1017.0,1
2013-01-10,mumbai,11.0,62.0,1015.666667,1
2013-01-11,mumbai,15.71428571,51.28571429,1016.142857,1
2013-01-12,mumbai,14.0,74.0,1015.571429,1
2013-01-13,mumbai,15.83333333,75.16666667,1013.333333,1
2013-01-14,mumbai,12.83333333,88.16666667,1015.166667,1
2013-01-15,mumbai,14.71428571,71.85714286,1015.857143,1
2013-01-16,mumbai,13.83333333,86.66666667,1016.666667,1
2013-01-17,mumbai,16.5,80.83333333,1015.833333,1
2013-01-18,mumbai,13.83333333,92.16666667,1014.5,1
2013-01-19,mumbai,12.5,76.66666667,1021.666667,1
2013-01-20,mumbai,11.28571429,75.28571429,1020.285714,1
2013-01-21,mumbai,11.2,77.0,1021.0,1
2013-01-22,mumbai,9.5,79.66666667,1021.8,1
2013-01-23,mumbai,14.0,60.16666667,1020.5,1
2013-01-24,mumbai,13.83333333,60.66666667,1020.5,1
2013-01-25,mumbai,12.25,67.0,1020.75,1
2013-01-26,mumbai,12.66666667,64.16666667,1019.666667,1
2013-01-27,mumbai,12.85714286,65.57142857,1018.142857,1
2013-01-28,mumbai,14.83333333,56.0,1017.833333,1
2013-01-29,mumbai,14.125,65.5,1016.625,1
2013-01-30,mumbai,14.71428571,70.42857143,1017.857143,1
2013-01-31,mumbai,16.2,65.6,1018.4,1
2013-02-01,mumbai,16.0,73.0,1016.0,1
2013-02-02,mumbai,16.28571429,77.57142857,1017.142857,1
2013-02-03,mumbai,18.0,65.57142857,1015.285714,1
2013-02-04,mumbai,17.42857143,74.28571429,1014.571429,1
2013-02-05,mumbai,16.625,92.375,1016.375,1
2013-02-06,mumbai,16.66666667,71.33333333,1018.666667,1
2013-02-07,mumbai,15.6,59.4,1018.6,1
2013-02-08,mumbai,14.0,70.42857143,1017.142857,1
2013-02-09,mumbai,15.42857143,61.28571429,1016.857143,1
2013-02-10,mumbai,15.25,71.5,1017.125,1
2013-02-11,mumbai,15.875,70.5,1016.5,1
2013-02-12,mumbai,15.33333333,70.33333333,1017.5,1
2013-02-13,mumbai,16.28571429,70.14285714,1016.0,1
2013-02-14,mumbai,17.33333333,63.83333333,1014.166667,1
2013-02-15,mumbai,19.16666667,65.33333333,1011.666667,1
2013-02-16,mumbai,14.42857143,92.71428571,1008.0,1
2013-02-17,mumbai,13.66666667,90.0,1012.666667,1
2013-02-18,mumbai,15.6,78.4,1016.2,1
2013-02-19,mumbai,15.85714286,82.0,1015.714286,1
2013-02-20,mumbai,17.71428571,74.71428571,1017.0,1
2013-02-21,mumbai,20.0,67.28571429,1015.428571,1
2013-02-22,mumbai,20.5,65.625,1016.0,1
2013-02-23,mumbai,17.42857143,74.85714286,1017.0,1
2013-02-24,mumbai,16.85714286,78.85714286,1018.857143,1
2013-02-25,mumbai,16.875,72.875,1018.25,1
2013-02-26,mumbai,17.85714286,70.0,1015.142857,1
2013-02-27,mumbai,20.8,57.2,1015.2,1
2013-02-28,mumbai,19.42857143,52.85714286,1017.428571,1
2013-03-01,mumbai,17.33333333,49.33333333,1016.333333,1
2013-03-02,mumbai,19.0,54.0,1016.25,1
2013-03-03,mumbai,19.33333333,62.83333333,1016.166667,1
2013-03-04,mumbai,17.6,71.0,1015.8,1
2013-03-05,mumbai,20.875,61.875,1016.375,1
2013-03-06,mumbai,20.85714286,65.28571429,1015.714286,1
2013-03-07,mumbai,23.42857143,57.14285714,1015.285714,1
2013-03-08,mumbai,24.16666667,44.83333333,1014.833333,1
2013-03-09,mumbai,25.42857143,49.71428571,1009.285714,1
2013-03-10,mumbai,23.14285714,57.57142857,1008.0,1
2013-03-11,mumbai,24.0,66.33333333,1011.166667,1
2013-03-12,mumbai,23.5,62.5,1011.5,1
2013-03-13,mumbai,21.5,70.5,1009.0,1
2013-03-14,mumbai,22.33333333,61.16666667,1013.166667,1
2013-03-15,mumbai,24.16666667,45.83333333,1016.166667,1
2013-03-16,mumbai,20.33333333,67.66666667,1016.166667,1
2013-03-17,mumbai,22.66666667,58.66666667,1015.0,1
2013-03-18,mumbai,23.42857143,58.14285714,1009.428571,1
2013-03-19,mumbai,22.5,73.66666667,1011.0,1
2013-03-20,mumbai,29.16666667,36.33333333,1009.5,1
2013-03-21,mumbai,23.83333333,58.5,1008.333333,1
2013-03-22,mumbai,25.25,50.25,1006.375,1
2013-03-23,mumbai,27.375,50.125,1007.625,1
2013-03-24,mumbai,27.0,48.75,1010.25,1
2013-03-25,mumbai,23.5,45.5,1010.625,1
2013-03-26,mumbai,24.14285714,44.57142857,1008.857143,1
2013-03-27,mumbai,21.0,62.0,1009.0,1
2013-03-28,mumbai,22.42857143,62.71428571,1009.571429,1
2013-03-29,mumbai,21.25,70.375,1009.75,1
2013-03-30,mumbai,23.5,54.75,1008.625,1
2013-03-31,mumbai,23.2,58.0,1008.6,1
2013-04-01,mumbai,25.375,45.5,1008.5,1
2013-04-02,mumbai,25.16666667,51.0,1009.5,1
2013-04-03,mumbai,26.2,45.6,1009.0,1
2013-04-04,mumbai,24.6,41.8,1007.8,1
2013-04-05,mumbai,25.6,31.0,1007.0,1
2013-04-06,mumbai,25.85714286,29.85714286,1006.142857,1
2013-04-07,mumbai,29.14285714,23.28571429,1005.0,1
2013-04-08,mumbai,28.71428571,33.85714286,1006.0,1
2013-04-09,mumbai,30.16666667,30.5,1005.333333,1
2013-04-10,mumbai,30.0,28.0,1006.714286,1
2013-04-11,mumbai,30.0,24.2,1006.4,1
2013-04-12,mumbai,28.85714286,32.57142857,1007.571429,1
2013-04-13,mumbai,30.2,29.2,1008.4,1
2013-04-14,mumbai,28.25,39.375,1007.0,1
2013-04-15,mumbai,28.25,41.375,1003.875,1
2013-04-16,mumbai,32.125,24.625,1000.0,1
2013-04-17,mumbai,29.2,24.2,1002.2,1
2013-04-18,mumbai,30.28571429,30.28571429,1002.857143,1
2013-04-19,mumbai,28.28571429,31.28571429,1002.571429,1
2013-04-20,mumbai,30.625,29.0,1003.375,1
2013-04-21,mumbai,27.66666667,38.66666667,1006.833333,1
2013-04-22,mumbai,27.375,45.375,1010.0,1
2013-04-23,mumbai,28.625,44.125,1009.875,1
2013-04-24,mumbai,30.28571429,41.71428571,1008.571429,1
2013-04-25,mumbai,31.14285714,38.28571429,1007.714286,1
2013-04-26,mumbai,29.875,45.875,1008.375,1
2013-04-27,mumbai,31.14285714,31.42857143,1007.0,1
2013-04-28,mumbai,30.57142857,28.0,1005.428571,1
2013-04-29,mumbai,32.125,26.375,1004.875,1
2013-04-30,mumbai,31.14285714,32.0,1004.857143,1
2013-05-01,mumbai,31.85714286,15.85714286,1002.833333,1
2013-05-02,mumbai,29.83333333,22.16666667,1001.2,1
2013-05-03,mumbai,28.57142857,31.57142857,999.4285714,1
2013-05-04,mumbai,32.85714286,31.42857143,999.0,1
2013-05-05,mumbai,32.625,31.125,1000.625,1
2013-05-06,mumbai,32.75,39.25,1001.625,1
2013-05-07,mumbai,32.875,33.25,1002.0,1
2013-05-08,mumbai,34.5,23.0,1001.166667,1
2013-05-09,mumbai,34.28571429,26.0,1000.857143,1
2013-05-10,mumbai,34.0,27.71428571,1000.142857,1
2013-05-11,mumbai,30.75,30.375,999.875,1
2013-05-12,mumbai,29.85714286,40.14285714,1003.714286,1
2013-05-13,mumbai,31.71428571,34.0,1003.571429,1
2013-05-14,mumbai,32.28571429,34.28571429,1001.571429,1
2013-05-15,mumbai,33.0,33.0,999.8571429,1
2013-05-16,mumbai,33.0,34.75,998.5,1
2013-05-17,mumbai,32.83333333,28.16666667,1000.333333,1
2013-05-18,mumbai,31.4,42.2,999.0,1
2013-05-19,mumbai,35.33333333,22.33333333,999.6666667,1
2013-05-20,mumbai,36.4,24.2,998.4,1
2013-05-21,mumbai,36.0,19.0,998.6666667,1
2013-05-22,mumbai,36.75,22.125,998.625,1
2013-05-23,mumbai,37.5,23.33333333,997.1666667,1
2013-05-24,mumbai,38.42857143,27.42857143,996.4285714,1
2013-05-25,mumbai,38.71428571,22.42857143,998.1428571,1
2013-05-26,mumbai,37.8,21.2,998.2,1
